2014
Eugene D. Commins - Physics
Hugh Macrae Richmond - English
Masao Miyoshi - English
Michael Burawoy - Sociology
Michael Senturia - Music
1978
David Lyon - Chemical Engineering
Genevieve Oxley - Social Welfare
Gerald Mendelsohn - Psychology
Josephine Miles - English
Richard Bagozzi - Business Administration
Sucheng Chan - Ethnic Studies
1977
Manuel Blum - Electrical Engineering and Computer Sciences
Raymond Lifchez - Architecture
Ulrich Knoepflmacher - English
Egor Popov - Civil Engineering
Forrest Mozer - Physics
Lynn Hunt - History
1976
Donald R. Kaplan - Integrative Biology
Douglas Powell - Geography
H. Bolton Seed - Civil Engineering
James Champion Stone - Education
Julius Palffy-Alpar - Human Biodynamics
Martin Covington - Psychology
Ralph W. Rader - English
1975
Jean Bony - History Of Art
John Holdren - Energy & Resources Group
Lawrence Lowery - Education
Marian Diamond - Integrative Biology
Patrick Duffy - Education
Richard Collier - English
Stephen Glickman - Psychology
1974
Douglas Fuerstenau - Materials Science & Engineering
Edward Snow - English
Natalie Davis - History
Nell Altizer - College Writing Program
Robert Goldman -
W. M. Laetsch - Plant and Microbial Biology
William K. Muir - Political Science
1973
Sam Davis - Architecture
1972
Charles Keeney - Human Biodynamics
Charles Kittel - Physics
Earl Parker - Materials Science & Engineering
Edwin Lewis - Electrical Engineering and Computer Sciences
Gardner Stout - English
Gerard Jian - French
Howard Bern - Integrative Biology
Jack London - Education
Paul Alpers - English
1971
C. D. Mote - Mechanical Engineering
Charles Desoer - Electrical Engineering and Computer Sciences
Frederick Reif - Physics
Herbert Baker - Integrative Biology
John Dorn - Materials Science & Engineering
Judith Wallerstein - Social Welfare
Laura Gould - Electrical Engineering and Computer Sciences
Leon Litwack - History
Michael A. Lieberman - Electrical Engineering and Computer Sciences
Spiro Kostof - Architecture
Walter Johnson - Classics And Comparative Literature
1964
Bernard Saffran - Economics
James Leiby - Social Welfare
Paul Piehler - English
Robert Hughes - Slavic Languages and Literature
Stanley Berger - Mechanical Engineering
1963
Eugene Commins - Physics
Irving Piliavin - Social Welfare
James Mitchell - Civil Engineering
Paul Bertrand Augst - French
Ralph Emerson - Integrative Biology
Richard Peters - Architecture
1962
Chang-Lin Tien - Mechanical Engineering
Daniel Heartz - Music
Herma Hill Kay - Law
Jesse Sawyer - Linguistics
Mark Christensen - Energy & Resources Group
Richard Eakin - Integrative Biology
1961
James Vance - Geography
Ronald Stark - Entomological Sciences
Stanley Cavell - Philosophy
Tom Cornsweet - Psychology
Bruce Mahan - Chemistry
Frederick Sherman - Mechanical Engineering
1960
John Schaar - Political Science
Lawrence Moe - Music
Robert Steidel - Mechanical Engineering
Sho Sato - Law
1959
Hanan Selvin - Sociology
Paul Zinke - Environmental Science Policy and Management
William Brinner - Near Eastern Studies
William Jensen - Plant and Microbial Biology
