William Brinner,1959,Distinguished Teaching Award
William Jensen,1959,Distinguished Teaching Award
Rob Chandra,2015,Earl F. Cheit Award for Excellence in Teaching 
Frank Schultz,2014,Earl F. Cheit Award for Excellence in Teaching
Alan Ross,2013,Earl F. Cheit Award for Excellence in Teaching
Julie Suh,2012,Earl F. Cheit Award for Excellence in Teaching
Jennifer Walske,2011,Earl F. Cheit Award for Excellence in Teaching
Frank Schultz,2010,Earl F. Cheit Award for Excellence in Teaching
Holly Schroth,2009,Earl F. Cheit Award for Excellence in Teaching
Ulrike Malmendier,2015,Distinguished Teaching Award
Kathleen Donegan,2015,Distinguished Teaching Award
Daniel Feldman,2015,Distinguished Teaching Award
Francine Masiello,2015,Distinguished Teaching Award
Lev Michael,2015,Distinguished Teaching Award
